Mission,Total Sats Launched,Early Deorbit,Disposal Complete,Reentry after Fail,Total Down,Total In Orbit,Failed in orbit,Total Working,Disposal underway,Out of constellation,"Reserve, Relocating",Drift,Ascent,Operational Orbit
Total,7632,174,473,90,737,6895,38,6857,392,31,67,98,93,6176
Starlink Gen2A,2918,60,27,9,96,2822,3,2819,50,4,52,98,93,2522
"Starlink V2 Mini Shell 1, 53 deg (Group 7 to 10)",896,18,4,2,24,872,0,872,13,3,19,24,30,783
"Starlink V2 Mini Shell 2, 43 deg (Group 6,12)",1593,28,23,7,58,1535,2,1533,37,1,19,35,32,1409
"Starlink V2 Mini DTC Shell 1, 53 deg",337,14,0,0,14,323,0,323,0,0,2,0,0,321
"Starlink V2 Mini DTC Shell 2, 43 deg",51,0,0,0,0,51,0,51,0,0,12,20,19,0
"Starlink V2 Mini Shell 3, 70 deg (Group NRO)",20,0,0,0,0,20,0,20,0,0,0,18,2,0
"Starlink V2 Mini Opt Shell 2, 43 deg (Group 12)",21,0,0,0,0,21,1,20,0,0,0,1,10,9
Starlink Gen1,4714,114,446,81,641,4073,35,4038,342,27,15,0,0,3654
Starlink Prototype Launch 0 (Tintin),2,0,2,0,2,0,0,0,0,0,0,0,0,0
Starlink Prototype Launch 1 (V0.9),60,0,50,10,60,0,0,0,0,0,0,0,0,0
Starlink Group 1 Early Launches 2-8 (V1.0 L1-7),420,9,98,35,142,278,14,264,66,2,4,0,0,192
Starlink Group 1 Visorsat Launches 9-17 (V1.0 L8-16),533,13,120,18,151,382,10,372,104,6,3,0,0,259
Starlink Group 1 Visorsat Launches 19+ (V1.0 L17+),712,20,84,7,111,601,2,599,129,5,2,0,0,463
Starlink Group 2 V1.5 Launches,408,3,7,2,12,396,3,393,4,2,1,0,0,386
Starlink Group 3 Launch 18/31 (TSP-1/2),13,0,11,0,11,2,0,2,0,0,0,0,0,2
Starlink Group 3 V1.5 Launches,230,0,0,0,0,230,0,230,1,0,1,0,0,228
Starlink Group 4 V1.5 Launches,1637,64,62,8,134,1503,5,1498,32,11,3,0,0,1452
Starlink Group 5 V1.5 Launches 43 deg (Gen2),699,5,12,1,18,681,1,680,6,1,1,0,0,672
