id,flight_proven,serial_number,status,successful_landings,attempted_landings,flights,last_launch_date,first_launch_date
1,True,B1050,retired,0,1,1,2018-12-05T18:16:16Z,2018-12-05T18:16:16Z
2,True,B1051,expended,13,13,14,2022-11-12T16:06:00Z,2019-03-02T07:49:00Z
8,True,B0003,expended,0,0,1,2010-06-04T18:45:00Z,2010-06-04T18:45:00Z
9,True,B0004,lost,0,0,1,2010-12-08T15:43:00Z,2010-12-08T15:43:00Z
10,True,B0005,lost,0,0,1,2012-05-22T07:44:38Z,2012-05-22T07:44:38Z
11,True,B0006,lost,0,0,1,2012-10-08T00:35:07Z,2012-10-08T00:35:07Z
12,True,B0007,lost,0,0,1,2013-03-01T15:10:13Z,2013-03-01T15:10:13Z
13,True,B1003,lost,0,0,1,2013-09-29T16:00:00Z,2013-09-29T16:00:00Z
14,True,B1004,lost,0,0,1,2013-12-03T21:41:00Z,2013-12-03T21:41:00Z
15,True,B1005,lost,0,0,1,2014-01-06T22:06:00Z,2014-01-06T22:06:00Z
16,True,B1006,lost,0,0,1,2014-04-18T19:25:22Z,2014-04-18T19:25:22Z
17,True,B1007,lost,0,0,1,2014-07-14T15:15:00Z,2014-07-14T15:15:00Z
18,True,B1008,lost,0,0,1,2014-08-05T08:00:00Z,2014-08-05T08:00:00Z
19,True,B1011,lost,0,0,1,2014-09-07T05:00:00Z,2014-09-07T05:00:00Z
20,True,B1010,lost,0,1,1,2014-09-21T05:52:03Z,2014-09-21T05:52:03Z
21,True,B1012,lost,0,1,1,2015-01-10T09:47:10Z,2015-01-10T09:47:10Z
22,True,B1013,lost,0,0,1,2015-02-11T23:03:32Z,2015-02-11T23:03:32Z
23,True,B1014,lost,0,0,1,2015-03-02T03:50:00Z,2015-03-02T03:50:00Z
24,True,B1015,lost,0,1,1,2015-04-14T20:10:41Z,2015-04-14T20:10:41Z
25,True,B1016,lost,0,0,1,2015-04-27T23:03:00Z,2015-04-27T23:03:00Z
26,True,B1018,lost,0,1,1,2015-06-28T14:21:11Z,2015-06-28T14:21:11Z
27,True,B1019,retired,1,1,1,2015-12-22T01:29:00Z,2015-12-22T01:29:00Z
28,True,B1017,lost,0,1,1,2016-01-17T18:42:18Z,2016-01-17T18:42:18Z
29,True,B1020,lost,0,1,1,2016-03-04T23:35:00Z,2016-03-04T23:35:00Z
30,True,B1021,retired,2,2,2,2017-03-30T22:27:00Z,2016-04-08T20:43:32Z
31,True,B1022,retired,1,1,1,2016-05-06T05:21:00Z,2016-05-06T05:21:00Z
32,True,B1023,retired,2,2,2,2018-02-06T20:45:00Z,2016-05-27T21:39:00Z
33,True,B1024,lost,0,1,1,2016-06-15T14:29:00Z,2016-06-15T14:29:00Z
34,True,B1025,retired,2,2,2,2018-02-06T20:45:00Z,2016-07-18T04:45:00Z
35,True,B1026,retired,1,1,1,2016-08-14T05:26:00Z,2016-08-14T05:26:00Z
36,True,B1028,lost,0,0,1,2016-09-03T07:00:00Z,2016-09-03T07:00:00Z
37,True,B1029,retired,2,2,2,2017-06-23T19:10:00Z,2017-01-14T17:54:34Z
38,True,B1031,retired,2,2,2,2017-10-11T22:53:00Z,2017-02-19T14:39:00Z
39,True,B1030,expended,0,0,1,2017-03-16T06:00:00Z,2017-03-16T06:00:00Z
40,True,B1032,expended,1,1,2,2018-01-31T21:25:00Z,2017-05-01T11:15:00Z
41,True,B1034,expended,0,0,1,2017-05-15T23:21:00Z,2017-05-15T23:21:00Z
42,True,B1035,retired,2,2,2,2017-12-15T15:36:09Z,2017-06-03T21:07:38Z
43,True,B1036,expended,1,1,2,2017-12-23T01:27:34Z,2017-06-25T20:25:18Z
44,True,B1037,expended,0,0,1,2017-07-05T23:38:00Z,2017-07-05T23:38:00Z
45,True,B1039,expended,1,1,2,2018-04-02T20:30:38Z,2017-08-14T16:31:37Z
46,True,B1038,expended,1,1,2,2018-02-22T14:17:00Z,2017-08-24T18:51:00Z
47,True,B1040,expended,1,1,2,2018-06-04T04:45:00Z,2017-09-07T14:00:00Z
48,True,B1041,expended,1,1,2,2018-03-30T14:13:51Z,2017-10-09T12:37:01Z
49,True,B1042,retired,1,1,1,2017-10-30T19:34:00Z,2017-10-30T19:34:00Z
50,True,B1043,expended,1,1,2,2018-05-22T19:47:58Z,2018-01-08T01:00:00Z
51,True,B1033,lost,0,1,1,2018-02-06T20:45:00Z,2018-02-06T20:45:00Z
52,True,B1044,expended,0,0,1,2018-03-06T05:33:00Z,2018-03-06T05:33:00Z
53,True,B1045,expended,1,1,2,2018-06-29T09:42:41Z,2018-04-18T22:51:30Z
54,True,B1046,expended,3,3,4,2020-01-19T15:30:00Z,2018-05-11T20:14:00Z
55,True,B1047,expended,2,2,3,2019-08-06T23:23:00Z,2018-07-22T05:50:00Z
56,True,B1048,lost,4,5,5,2020-03-18T12:16:39Z,2018-07-25T11:39:30Z
57,True,B1049,expended,10,10,11,2022-11-23T02:57:00Z,2018-09-10T04:45:00Z
58,True,B1052,expended,7,7,8,2023-05-01T00:26:00Z,2019-04-11T22:35:00Z
59,True,B1053,expended,2,2,3,2023-05-01T00:26:00Z,2019-04-11T22:35:00Z
61,True,B1054,expended,0,0,1,2018-12-23T13:51:00Z,2018-12-23T13:51:00Z
