id,name,description,type,orbit_id
8,SES-8,SES-8 is a geostationary communications satellite; providing broadcasting and network services for South Asia and India.,Communications,2
10,Eutelsat 115 West B & ABS-3A,"These are both geostationary communication satellites; with Eutelsat 155 West B providing coverage in the Americas, and ABS-3A providing coverage in the Americas, the Middle East, and Africa.",Communications,2
16,CASSIOPE,CASSIOPE (Cascade SmallSat and Ionospheric Polar Explorer) is a small satellite mission for Canadian Space Agency to feature the first in a new generation of multi-purpose satellite platforms. It is tasked with a dual mission on scientific research and telecommunications.,Earth Science,8
19,SpX CRS-1,This was the third flight for the uncrewed Dragon cargo spacecaft and the first SpaceX mission under their Commercial Resupply Services contract with NASA. Dragon delivered various cargo to the staion; and returned after being berthed to the station for 17 days. The spacecraft landed in the Pacific Ocean and was recovered by SpaceX.,Resupply,8
32,Orbcomm OG2 Mission 1,"In this flight; the Falcon 9 rocket will deliver the first six of a series of next generation OG2 satellites to an elliptical 750 x 615 km low-Earth orbit. The OG2 satellites are commercial telecommunications satellites, built by Sierra Nevada Corporation and weigh approximately 170 kg each.",Communications,8
44,SpX CRS-3,The SpaceX Falcon 9 rocket launched the fifth Dragon spacecraft on the third operational cargo delivery mission to the International Space Station. The flight was  conducted under the Commercial Resupply Services contract with NASA.,Resupply,8
54,Crew-1,SpaceX Crew-1 is the first crewed operational flight of a Crew Dragon spacecraft to the International Space Station as part of NASA's Commercial Crew Program.,Human Exploration,8
58,AsiaSat 6,"AsiaSat 6 will support video broadcasting and broadband networks for customers in Asia; Australia, India and the Pacific islands.",Communications,2
60,SpX CRS-4,This was the fourth Dragon mission to the International SpaÑe Station. It delivered supplies and scientific experiments; including live mice and the first 3D printer in space. The flight was conducted under the Commercial Resupply Services contract with NASA,Resupply,8
68,DSCOVR,A SpaceX Falcon 9 rocket will launch the Deep Space Climate Observatory for the U.S Air Force; NOAA and NASA. DSCOVR will be positioned at the L1 libration point to monitor space weather and Earth's climate.,Earth Science,5
69,SpX CRS-5,A SpaceX Falcon 9 rocket launched the seventh Dragon spacecraft on the fifth operational cargo delivery mission to the International Space Station. The flight was conducted under the Commercial Resupply Services contract with NASA.,Resupply,8
