rocket_id,launcher_stage_id
11,66
20,102
21,87
22,68
27,69
29,70
30,95
30,96
30,97
31,94
48,77
53,155
69,114
71,138
76,88
87,99
88,103
88,104
88,105
94,126
96,116
99,110
105,109
112,409
121,113
129,290
136,156
139,181
142,121
148,130
155,149
162,235
162,236
162,237
164,142
165,267
167,201
172,356
174,300
176,470
177,227
1463,1
1501,2
1610,3
1635,4
1664,5
1707,6
1723,7
1733,8
1752,9
1771,10
1776,11
1782,12
1785,13
1820,14
1827,15
1830,16
1841,17
1842,30
1850,67
1897,19
1901,20
1911,21
1921,22
1925,23
1928,24
1935,25
1942,26
1946,27
1950,28
1980,29
1986,31
1990,32
1993,33
1998,34
2000,35
2005,36
2013,37
2014,38
2016,39
2020,62
2024,40
2027,41
2035,64
2037,42
2041,43
2054,44
2057,45
2061,46
2072,342
2076,47
2076,48
2076,49
2079,50
2082,51
2089,52
2091,53
2096,65
2102,54
2105,55
2107,56
2113,57
2117,58
2119,59
2122,60
2126,61
2142,221
2142,222
2142,223
2166,125
2218,210
2219,209
2220,150
2220,151
2220,152
2227,101
2354,208
2409,98
2419,154
2479,131
2496,294
2502,200
2513,146
2516,112
2517,118
2518,160
2520,214
2521,215
2550,303
2551,220
2555,122
2561,389
2586,487
2595,119
2608,120
2621,123
2623,234
2662,398
2663,277
2663,278
2663,279
2673,306
2674,314
2691,238
2691,239
2691,240
2693,219
2695,331
2698,124
2706,127
2713,128
2721,129
2732,132
2739,326
2741,271
2741,272
2741,273
2744,133
2746,179
2747,134
2748,135
2750,136
2751,137
2756,139
2795,147
2798,143
2799,144
2801,213
2803,145
2809,148
2812,182
2815,157
2817,158
2820,161
2822,162
2825,184
2826,163
2831,207
2832,164
2833,165
2838,166
2843,185
2844,168
2845,167
2847,169
2852,171
2854,172
2860,297
2872,173
2877,174
2879,175
2881,263
2885,178
2887,192
2889,202
2950,334
2951,401
2953,282
2958,193
2959,197
2981,204
7449,406
7449,425
7449,426
7455,403
7457,233
7458,299
7459,313
7460,345
7461,387
7469,195
7471,251
7494,199
7498,252
7500,218
7501,231
7503,203
7505,205
7508,465
7516,283
7517,211
7519,212
7525,305
7526,330
7527,347
7528,386
7534,392
7535,216
7536,253
7537,254
7538,255
7543,224
7544,225
7546,396
7548,289
7549,287
7550,350
7552,351
7554,232
7556,229
7557,259
7558,332
7559,260
7561,388
7564,228
7570,230
7576,284
7576,285
7576,286
7577,394
7579,242
7580,243
7581,244
7582,248
7583,245
7584,247
7585,246
7586,249
7587,438
7588,404
7596,250
7602,261
7604,399
7605,296
7613,262
7616,264
7617,265
7619,268
7623,269
7628,270
7629,402
7630,288
7631,274
7635,276
7638,280
7639,281
7647,292
7651,298
7689,291
7692,308
7695,295
7696,348
7697,344
7703,324
7717,301
7724,302
7730,352
7733,304
7734,307
7735,309
7736,325
7738,311
7739,312
7743,412
7744,416
7749,343
7750,405
7774,391
7775,315
7776,316
7777,317
7778,318
7779,319
7780,320
7781,321
7782,322
7813,329
7832,400
7838,333
7841,335
7842,336
7843,337
7844,338
7845,339
7846,340
7847,341
7853,408
7861,349
7862,360
7863,357
7864,381
7865,378
7866,379
7867,383
7868,380
7869,385
7870,384
7871,354
7872,353
7873,355
7874,358
7875,359
7876,369
7877,346
7943,372
7944,373
7945,375
7946,374
7948,368
7949,367
7950,370
7951,371
7952,377
7953,376
7960,427
7961,428
7962,429
7963,430
7964,431
7965,432
7967,433
7968,434
7969,435
7970,436
7976,437
7985,508
7986,633
8001,446
8032,447
8034,461
8035,462
8036,463
8037,464
8045,466
8046,469
8047,467
8048,468
8057,540
8058,597
8076,632
8081,492
8085,471
8091,479
8098,472
8149,482
8160,483
8161,484
8162,485
8163,486
8164,513
8168,489
8169,490
8172,491
8189,496
8190,497
8191,498
8192,499
8194,500
8195,501
8199,502
8200,503
8201,504
8202,505
8203,506
8205,507
8209,509
8210,510
8211,511
8212,512
8213,517
8214,518
8215,519
8216,520
8217,521
8219,523
8220,522
8221,524
8224,525
8225,526
8227,527
8232,529
8233,530
8234,531
8236,532
8237,533
8240,534
8242,535
8243,536
8245,537
8248,538
8250,539
8253,541
8255,542
8256,543
8259,544
8260,545
8261,546
8274,547
8289,598
8294,552
8307,553
8309,554
8315,556
8316,558
8319,561
8357,594
8363,595
8365,596
8367,599
8373,601
8374,602
8378,603
8389,604
8391,605
8392,606
8393,607
8394,608
8396,610
8397,611
8401,612
8402,613
8403,614
8404,615
8405,616
8414,621
8417,623
8420,624
8421,625
8422,626
8432,631
8435,634
8436,635
8440,638
8444,639
8447,640
8452,643
